window_id,media_id,system_id,room_id,session_id,source_type,start_time,end_time,duration_seconds,video_path,video_start_offset_sec,has_audio,zone_config_id,quality_status,warnings
video_000001_w0066,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:06:36-03:00,2025-08-17T08:07:06-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,650.0,True,default_zone,warning,mapping_override
video_000001_w0067,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:06:46-03:00,2025-08-17T08:07:16-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,660.0,True,default_zone,warning,mapping_override
video_000001_w0068,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:06:56-03:00,2025-08-17T08:07:26-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,670.0,True,default_zone,warning,mapping_override
video_000001_w0069,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:07:06-03:00,2025-08-17T08:07:36-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,680.0,True,default_zone,warning,mapping_override
video_000001_w0070,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:07:16-03:00,2025-08-17T08:07:46-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,690.0,True,default_zone,warning,mapping_override
video_000001_w0071,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:07:26-03:00,2025-08-17T08:07:56-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,700.0,True,default_zone,warning,mapping_override
video_000001_w0072,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:07:36-03:00,2025-08-17T08:08:06-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,710.0,True,default_zone,warning,mapping_override
video_000001_w0073,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:07:46-03:00,2025-08-17T08:08:16-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,720.0,True,default_zone,warning,mapping_override
video_000001_w0074,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:07:56-03:00,2025-08-17T08:08:26-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,730.0,True,default_zone,warning,mapping_override
video_000001_w0075,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:08:06-03:00,2025-08-17T08:08:36-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,740.0,True,default_zone,warning,mapping_override
