window_id,media_id,system_id,room_id,session_id,start_time,end_time,video_path,video_start_offset_sec,duration_seconds,zone_config_id,zone_id,semantic_type,zone_area_pixels,zone_area_fraction,activity_mean,activity_std,activity_sum,activity_norm,frame_count_used,quality_status,warnings,start_time_dt,end_time_dt
video_000003_w0011,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:43-03:00,2025-08-16T06:02:13-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",100.0,30.0,room1_aug16_17_semantic_v1,feeding_zone,feeding,93130,0.044912229938271604,0.0001027405235314897,0.000515732840479662,2.6352944187819958,0.008306756620095702,15,ok,mapping_override,2025-08-16 06:01:43-03:00,2025-08-16 06:02:13-03:00
video_000003_w0011,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:43-03:00,2025-08-16T06:02:13-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",100.0,30.0,room1_aug16_17_semantic_v1,general_zone,general,1908762,0.9205063657407407,0.0006122611230239272,0.0014095591691633065,310.9490566253662,0.9801478408735441,15,ok,mapping_override,2025-08-16 06:01:43-03:00,2025-08-16 06:02:13-03:00
video_000003_w0012,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:53-03:00,2025-08-16T06:02:23-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",110.0,30.0,room1_aug16_17_semantic_v1,drinking_zone,drinking,71708,0.034581404320987656,7.588221415062435e-05,0.00046610592301779736,1.5058825379237533,0.005074129860582171,15,ok,mapping_override,2025-08-16 06:01:53-03:00,2025-08-16 06:02:23-03:00
video_000003_w0012,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:53-03:00,2025-08-16T06:02:23-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",110.0,30.0,room1_aug16_17_semantic_v1,feeding_zone,feeding,93130,0.044912229938271604,4.0362347923898294e-05,0.00030496692828213177,1.0352942422032356,0.003488464270324258,15,ok,mapping_override,2025-08-16 06:01:53-03:00,2025-08-16 06:02:23-03:00
video_000003_w0012,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:01:53-03:00,2025-08-16T06:02:23-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",110.0,30.0,room1_aug16_17_semantic_v1,general_zone,general,1908762,0.9205063657407407,0.0005793516679356496,0.0013800638805453976,294.23533058166504,0.9914374058690936,15,ok,mapping_override,2025-08-16 06:01:53-03:00,2025-08-16 06:02:23-03:00
video_000003_w0013,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:02:03-03:00,2025-08-16T06:02:33-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",120.0,30.0,room1_aug16_17_semantic_v1,drinking_zone,drinking,71708,0.034581404320987656,4.367179493177294e-05,0.0003773464549643298,0.8666667500510812,0.0031086479107035624,15,ok,mapping_override,2025-08-16 06:02:03-03:00,2025-08-16 06:02:33-03:00
video_000003_w0013,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:02:03-03:00,2025-08-16T06:02:33-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",120.0,30.0,room1_aug16_17_semantic_v1,feeding_zone,feeding,93130,0.044912229938271604,2.048694920328368e-05,0.00023823111744907994,0.5254902467131615,0.0018848815388887218,15,ok,mapping_override,2025-08-16 06:02:03-03:00,2025-08-16 06:02:33-03:00
video_000003_w0013,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:02:03-03:00,2025-08-16T06:02:33-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",120.0,30.0,room1_aug16_17_semantic_v1,general_zone,general,1908762,0.9205063657407407,0.0005462028319016099,0.0013533016201108695,277.4000301361084,0.9950064705504077,15,ok,mapping_override,2025-08-16 06:02:03-03:00,2025-08-16 06:02:33-03:00
video_000003_w0014,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:02:13-03:00,2025-08-16T06:02:43-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",130.0,30.0,room1_aug16_17_semantic_v1,drinking_zone,drinking,71708,0.034581404320987656,5.374990099274631e-05,0.00041010626688754807,1.066666765138507,0.004038244450589721,15,ok,mapping_override,2025-08-16 06:02:13-03:00,2025-08-16 06:02:43-03:00
video_000003_w0014,video_000003,free_range,room_1,room_1_16_17_aug,2025-08-16T06:02:13-03:00,2025-08-16T06:02:43-03:00,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",130.0,30.0,room1_aug16_17_semantic_v1,feeding_zone,feeding,93130,0.044912229938271604,1.8346521513497768e-05,0.0002145940651341031,0.47058827243745327,0.0017815784102323546,15,ok,mapping_override,2025-08-16 06:02:13-03:00,2025-08-16 06:02:43-03:00
