window_id,media_id,room_id,session_id,start_time,end_time,audio_rms,audio_short_time_energy,audio_zero_crossing_rate,audio_spectral_centroid,audio_spectral_bandwidth,audio_spectral_rolloff,audio_spectral_flatness,audio_duration_sec,audio_sample_rate,audio_available,audio_quality_flag,audio_warning
video_000027_w0213,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:39:49-03:00,2025-08-17T02:40:19-03:00,0.0570619478821754,0.0032823940273374,0.0395135059952735,1096.85546875,1484.654541015625,2192.033447265625,0.1013040244579315,30.0,22050,True,ok,
video_000027_w0214,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:39:59-03:00,2025-08-17T02:40:29-03:00,0.0566370673477649,0.0032307817600667,0.0396147966384887,1105.92138671875,1490.517578125,2199.666748046875,0.1024388894438743,30.0,22050,True,ok,
video_000027_w0215,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:40:09-03:00,2025-08-17T02:40:39-03:00,0.055849302560091,0.0031389056239277,0.0400199554860591,1112.795166015625,1499.1573486328125,2204.63330078125,0.1042030826210975,30.0,22050,True,ok,
video_000027_w0216,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:40:19-03:00,2025-08-17T02:40:49-03:00,0.0558425523340702,0.0031407251954078,0.0399020388722419,1112.6915283203125,1501.591796875,2202.89990234375,0.1044392585754394,30.0,22050,True,ok,
video_000027_w0217,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:40:29-03:00,2025-08-17T02:40:59-03:00,0.0559609085321426,0.0031547846738249,0.0403238274157047,1110.334716796875,1501.1163330078125,2196.86669921875,0.1041878014802932,30.0,22050,True,ok,
video_000027_w0218,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:40:39-03:00,2025-08-17T02:41:09-03:00,0.0554759725928306,0.0031039626337587,0.0411235578358173,1110.4974365234375,1497.5665283203125,2197.466552734375,0.1029122844338417,30.0,22050,True,ok,
video_000027_w0219,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:40:49-03:00,2025-08-17T02:41:19-03:00,0.0558216720819473,0.0031525546219199,0.0410494804382324,1105.05029296875,1489.5518798828125,2194.666748046875,0.1013438031077385,30.0,22050,True,ok,
video_000027_w0220,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:40:59-03:00,2025-08-17T02:41:29-03:00,0.0565822385251522,0.0032461925875395,0.0402784720063209,1101.1944580078125,1483.028076171875,2194.066650390625,0.1000635400414466,30.0,22050,True,ok,
video_000027_w0221,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:41:09-03:00,2025-08-17T02:41:39-03:00,0.0582291521131992,0.0034265264403074,0.0383781567215919,1092.6341552734375,1484.027587890625,2183.533447265625,0.1008911654353141,30.0,22050,True,ok,
video_000027_w0222,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:41:19-03:00,2025-08-17T02:41:49-03:00,0.0584955066442489,0.0034615276381373,0.0380123071372509,1093.099853515625,1483.5653076171875,2180.13330078125,0.1008163914084434,30.0,22050,True,ok,
video_000027_w0223,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:41:29-03:00,2025-08-17T02:41:59-03:00,0.0574926286935806,0.0033397495280951,0.0389601960778236,1092.93359375,1480.1717529296875,2178.666748046875,0.1005048900842666,30.0,22050,True,ok,
video_000027_w0224,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:41:39-03:00,2025-08-17T02:42:09-03:00,0.0565814860165119,0.0032329461537301,0.0401031002402305,1099.0477294921875,1480.17138671875,2185.833251953125,0.1004969924688339,30.0,22050,True,ok,
video_000027_w0225,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:41:49-03:00,2025-08-17T02:42:19-03:00,0.0561946630477905,0.003176181577146,0.0401862487196922,1101.5001220703125,1486.5703125,2189.89990234375,0.1018503755331039,30.0,22050,True,ok,
video_000027_w0226,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:41:59-03:00,2025-08-17T02:42:29-03:00,0.056212980300188,0.0031773571390658,0.0398612171411514,1102.99267578125,1493.82421875,2192.86669921875,0.102613516151905,30.0,22050,True,ok,
