window_id,media_id,room_id,session_id,start_time,end_time,mobility_index,spatial_freedom_index,occupancy_imbalance_index,activity_mean,normalized_activity,resilience_pressure_index,event_phase,event_id,event_type,seconds_from_event_start,seconds_from_event_end,overlaps_event,event_start_time,event_end_time,state_id,state_probability_max,posterior_state_0,posterior_state_1,posterior_state_2,posterior_state_3,state_label,state_run_length,welfare_risk_score,risk_level,sustained_risk_flag,high_risk_flag
video_000003_w0054,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:08:53-03:00,2025-08-16T06:09:23-03:00,0.013812947065884483,0.7215712597229158,0.3919079097705077,2.7855058759411003e-05,2.0139440800633545e-05,0.0,outside_event_window,,,,,False,,,1,1.0,2.2443477591451734e-248,1.0,2.4011490758996e-43,6.4277614625839295e-47,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0055,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:09:03-03:00,2025-08-16T06:09:33-03:00,0.007865133492677912,0.6820603061941597,0.41807857365783047,2.758049656031621e-05,1.9906180687277845e-05,0.0,outside_event_window,,,,,False,,,1,1.0,1.8929697454638486e-244,1.0,4.141876952955853e-47,2.4011490658365006e-43,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0056,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:09:13-03:00,2025-08-16T06:09:43-03:00,0.008517445899548745,0.7347185125972224,0.3897350068351706,2.832293212975401e-05,2.0536932501101186e-05,0.0,outside_event_window,,,,,False,,,1,1.0,1.524934724510031e-248,1.0,2.329214441670492e-42,4.141876938008337e-47,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0057,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:09:23-03:00,2025-08-16T06:09:53-03:00,0.012989829904008843,0.7292522735831014,0.388799437211931,2.941716165161997e-05,2.146655829499821e-05,0.0,outside_event_window,,,,,False,,,1,1.0,7.680575982800433e-244,1.0,1.8413303631130078e-42,2.3292144343492734e-42,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0058,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:09:33-03:00,2025-08-16T06:10:03-03:00,0.0019452546513832648,0.7220760483754075,0.3948920367590946,2.9007274084391632e-05,2.1118329657880668e-05,0.0,outside_event_window,,,,,False,,,1,1.0,9.563679263678096e-244,1.0,3.021608249939547e-43,1.8413303590401858e-42,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0059,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:09:43-03:00,2025-08-16T06:10:13-03:00,0.009964975384707909,0.6710813894014842,0.4280620862123634,2.762458981055242e-05,1.9943641039002258e-05,0.0,outside_event_window,,,,,False,,,1,1.0,2.839386570752414e-244,1.0,1.9945291446319756e-47,3.021608239034941e-43,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0060,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:09:53-03:00,2025-08-16T06:10:23-03:00,0.019042845909944543,0.768437310111893,0.3646380962045065,3.0463600211187253e-05,2.2355582267814546e-05,0.0,outside_event_window,,,,,False,,,1,1.0,3.7307124611072283e-249,1.0,4.5324032606095426e-38,1.994529143471007e-47,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0061,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:10:03-03:00,2025-08-16T06:10:33-03:00,0.005162400708458159,0.7878636931666929,0.34748584827835527,3.227530934897989e-05,2.3894758018308772e-05,0.0,outside_event_window,,,,,False,,,1,1.0,1.1413316796374484e-239,1.0,2.3409537418682295e-36,4.5324032579713364e-38,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0062,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:10:13-03:00,2025-08-16T06:10:43-03:00,0.0038272367198606775,0.8007260583433956,0.33478183319530236,3.1108105842984436e-05,2.2903135635419587e-05,0.0,outside_event_window,,,,,False,,,1,1.0,5.787306526360891e-238,1.0,4.813578529874882e-36,2.3409537414594452e-36,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0063,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:10:23-03:00,2025-08-16T06:10:53-03:00,0.010905359314083604,0.7556380310496376,0.3710852220031448,2.826713755738857e-05,2.048953104409981e-05,0.0,outside_event_window,,,,,False,,,1,1.0,1.274580001331524e-237,1.0,2.344104694437533e-40,4.813578519507957e-36,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0064,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:10:33-03:00,2025-08-16T06:11:03-03:00,0.013741810762968227,0.721035611343458,0.39179057800247835,2.678688276181636e-05,1.9231949328376132e-05,0.0,outside_event_window,,,,,False,,,1,1.0,8.229888595499545e-242,1.0,2.756005815273804e-43,2.3441046869330662e-40,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
