window_id,room_id,session_id,start_time,end_time,event_id,event_phase,minutes_from_event_start,event_start_time,event_end_time,model_name,model_type,state_id,state_probability_max,risk_score,risk_level
video_000003_w0080,room_1,room_1_16_17_aug,2025-08-16T06:13:13-03:00,2025-08-16T06:13:43-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0081,room_1,room_1_16_17_aug,2025-08-16T06:13:23-03:00,2025-08-16T06:13:53-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0082,room_1,room_1_16_17_aug,2025-08-16T06:13:33-03:00,2025-08-16T06:14:03-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0083,room_1,room_1_16_17_aug,2025-08-16T06:13:43-03:00,2025-08-16T06:14:13-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0084,room_1,room_1_16_17_aug,2025-08-16T06:13:53-03:00,2025-08-16T06:14:23-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0085,room_1,room_1_16_17_aug,2025-08-16T06:14:03-03:00,2025-08-16T06:14:33-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0086,room_1,room_1_16_17_aug,2025-08-16T06:14:13-03:00,2025-08-16T06:14:43-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0087,room_1,room_1_16_17_aug,2025-08-16T06:14:23-03:00,2025-08-16T06:14:53-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0088,room_1,room_1_16_17_aug,2025-08-16T06:14:33-03:00,2025-08-16T06:15:03-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0089,room_1,room_1_16_17_aug,2025-08-16T06:14:43-03:00,2025-08-16T06:15:13-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0090,room_1,room_1_16_17_aug,2025-08-16T06:14:53-03:00,2025-08-16T06:15:23-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0091,room_1,room_1_16_17_aug,2025-08-16T06:15:03-03:00,2025-08-16T06:15:33-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0092,room_1,room_1_16_17_aug,2025-08-16T06:15:13-03:00,2025-08-16T06:15:43-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0093,room_1,room_1_16_17_aug,2025-08-16T06:15:23-03:00,2025-08-16T06:15:53-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0094,room_1,room_1_16_17_aug,2025-08-16T06:15:33-03:00,2025-08-16T06:16:03-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0095,room_1,room_1_16_17_aug,2025-08-16T06:15:43-03:00,2025-08-16T06:16:13-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0096,room_1,room_1_16_17_aug,2025-08-16T06:15:53-03:00,2025-08-16T06:16:23-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0097,room_1,room_1_16_17_aug,2025-08-16T06:16:03-03:00,2025-08-16T06:16:33-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0098,room_1,room_1_16_17_aug,2025-08-16T06:16:13-03:00,2025-08-16T06:16:43-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0099,room_1,room_1_16_17_aug,2025-08-16T06:16:23-03:00,2025-08-16T06:16:53-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0100,room_1,room_1_16_17_aug,2025-08-16T06:16:33-03:00,2025-08-16T06:17:03-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0101,room_1,room_1_16_17_aug,2025-08-16T06:16:43-03:00,2025-08-16T06:17:13-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0102,room_1,room_1_16_17_aug,2025-08-16T06:16:53-03:00,2025-08-16T06:17:23-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0103,room_1,room_1_16_17_aug,2025-08-16T06:17:03-03:00,2025-08-16T06:17:33-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560888,low
video_000003_w0104,room_1,room_1_16_17_aug,2025-08-16T06:17:13-03:00,2025-08-16T06:17:43-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560867,low
video_000003_w0105,room_1,room_1_16_17_aug,2025-08-16T06:17:23-03:00,2025-08-16T06:17:53-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560869,low
video_000003_w0106,room_1,room_1_16_17_aug,2025-08-16T06:17:33-03:00,2025-08-16T06:18:03-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0107,room_1,room_1_16_17_aug,2025-08-16T06:17:43-03:00,2025-08-16T06:18:13-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0108,room_1,room_1_16_17_aug,2025-08-16T06:17:53-03:00,2025-08-16T06:18:23-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0109,room_1,room_1_16_17_aug,2025-08-16T06:18:03-03:00,2025-08-16T06:18:33-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0110,room_1,room_1_16_17_aug,2025-08-16T06:18:13-03:00,2025-08-16T06:18:43-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0111,room_1,room_1_16_17_aug,2025-08-16T06:18:23-03:00,2025-08-16T06:18:53-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0112,room_1,room_1_16_17_aug,2025-08-16T06:18:33-03:00,2025-08-16T06:19:03-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0113,room_1,room_1_16_17_aug,2025-08-16T06:18:43-03:00,2025-08-16T06:19:13-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0114,room_1,room_1_16_17_aug,2025-08-16T06:18:53-03:00,2025-08-16T06:19:23-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0115,room_1,room_1_16_17_aug,2025-08-16T06:19:03-03:00,2025-08-16T06:19:33-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
